Segment	Chr	StartMB	StopMB	Length	N_SNP	StartSNP	StopSNP
1	1	0.753	121.347	120.594	39985	rs3094315	rs1853728
2	1	149.039	249.219	100.180	34264	rs11588033	rs12746903
3	2	0.019	90.240	90.222	31760	rs10195681	rs13003799
4	2	95.329	243.049	147.719	44077	rs10210207	rs12478296
5	3	0.061	90.443	90.381	31270	rs13060385	rs2316653
6	3	93.537	197.838	104.301	30790	rs9681884	rs10433653
7	4	0.072	49.629	49.557	15550	rs13125929	rs28714682
8	4	52.697	190.937	138.240	38960	rs9998449	rs75178129
9	5	0.028	46.399	46.372	15080	rs2135917	rs7293455
10	5	49.457	68.828	19.371	5843	rs8188203	rs28529133
11	5	70.307	180.697	110.390	34508	rs28447466	rs6894609
12	6	0.181	58.771	58.590	26933	rs75144353	rs6928497
13	6	61.891	170.919	109.028	35092	rs4502981	rs12530134
14	7	0.045	57.883	57.838	21971	rs7456436	rs4870705
15	7	61.074	159.119	98.045	27785	rs9314244	rs1124425
16	8	0.165	43.792	43.627	19155	rs11780869	rs10958798
17	8	46.943	146.293	99.351	29563	rs7836486	rs6599566
18	9	0.186	39.184	38.998	17357	rs2992854	rs2990087
19	9	70.961	141.066	70.105	25069	rs12554965	rs9314655
20	10	0.098	39.098	39.000	16391	rs11252127	rs7089520
21	10	42.436	135.448	93.012	33278	rs10909011	rs11817335
22	11	0.199	51.567	51.368	18554	rs3802985	rs7479178
23	11	54.794	134.940	80.146	27949	rs34944111	rs11224228
24	12	0.192	34.827	34.635	13907	rs11063263	rs9705474
25	12	37.927	133.778	95.851	31787	rs12230545	rs11147298
26	13	19.199	115.104	95.905	35729	rs9552120	rs17067959
27	14	19.256	107.288	88.032	30364	rs28842485	rs10149476
28	15	22.299	102.399	80.099	27888	rs2605929	rs11247329
29	16	0.088	35.286	35.197	11447	rs2541696	rs28973178
30	16	46.532	90.163	43.631	17300	rs11866142	rs4785775
31	17	0.009	22.242	22.234	7880	rs2396789	rs2176134
32	17	25.295	81.051	55.756	17334	rs3932342	rs7502442
33	18	0.070	15.319	15.249	6138	rs8096071	rs12456023
34	18	18.561	78.015	59.454	21556	rs9966660	rs12960632
35	19	0.261	24.545	24.284	7318	rs8100066	rs8187137
36	19	27.894	59.097	31.203	10441	rs2407365	rs10411093
37	20	0.063	26.309	26.246	11164	rs6139074	rs2211139
38	20	29.446	62.912	33.467	12272	rs2180584	rs6062363
39	21	14.601	48.100	33.499	13200	rs2775537	rs10483083
40	22	16.494	51.211	34.717	13595	rs8142331	rs3888396
